,Niger
0,0.06948672
1,0.0676087
2,0.06948672
3,0.075120778
4,0.082632856
5,0.092022953
6,0.099535031
7,0.10516909
8,0.108925128
9,0.109864138
10,0.107986119
11,0.106108099
12,0.10516909
13,0.10516909
14,0.106108099
15,0.107986119
16,0.122071265
17,0.153058586
18,0.178411848
19,0.176533829
20,0.146485518
21,0.107047109
22,0.084510876
23,0.076059788
24,0.07042573
25,0.06854771
26,0.07042573
27,0.076059788
28,0.083571866
29,0.092022953
30,0.100474041
31,0.106108099
32,0.108925128
33,0.109864138
34,0.107986119
35,0.106108099
36,0.10423008
37,0.10423008
38,0.10516909
39,0.107047109
40,0.122071265
41,0.153058586
42,0.177472839
43,0.174655809
44,0.143668488
45,0.10423008
46,0.081693846
47,0.073242759
48,0.0676087
49,0.064791671
50,0.066669691
51,0.072303749
52,0.079815827
53,0.088266914
54,0.095778992
55,0.101413051
56,0.10423008
57,0.10516909
58,0.10329107
59,0.101413051
60,0.099535031
61,0.099535031
62,0.100474041
63,0.10235206
64,0.117376216
65,0.149302547
66,0.1737168
67,0.169960761
68,0.139912449
69,0.100474041
70,0.077937807
71,0.06948672
72,0.063852662
73,0.061974642
74,0.059157613
75,0.064791671
76,0.072303749
77,0.080754837
78,0.088266914
79,0.092961963
80,0.094839983
81,0.092961963
82,0.090144934
83,0.086388895
84,0.083571866
85,0.082632856
86,0.084510876
87,0.087327905
88,0.10235206
89,0.136156411
90,0.163387693
91,0.163387693
92,0.134278391
93,0.095778992
94,0.073242759
95,0.065730681
96,0.060096623
97,0.058218603
98,0.060096623
99,0.065730681
100,0.074181769
101,0.082632856
102,0.090144934
103,0.094839983
104,0.095778992
105,0.094839983
106,0.092022953
107,0.088266914
108,0.085449885
109,0.084510876
110,0.085449885
111,0.089205924
112,0.10516909
113,0.13803443
114,0.165265712
115,0.165265712
116,0.136156411
117,0.097657012
118,0.075120778
119,0.066669691
120,0.061035632
121,0.059157613
122,0.061035632
123,0.071364739
124,0.078876817
125,0.087327905
126,0.095778992
127,0.101413051
128,0.10423008
129,0.10516909
130,0.10329107
131,0.101413051
132,0.099535031
133,0.099535031
134,0.100474041
135,0.10235206
136,0.117376216
137,0.149302547
138,0.1737168
139,0.17183878
140,0.140851459
141,0.10235206
142,0.079815827
143,0.071364739
144,0.065730681
145,0.063852662
146,0.065730681
147,0.071364739
148,0.079815827
149,0.088266914
150,0.095778992
151,0.101413051
152,0.10516909
153,0.10516909
154,0.10423008
155,0.101413051
156,0.100474041
157,0.099535031
158,0.100474041
159,0.10329107
160,0.116437206
161,0.147424527
162,0.1737168
163,0.17277779
164,0.143668488
165,0.10423008
166,0.081693846
167,0.074181769
168,0.06854771
169,0.066669691
170,0.06854771
171,0.074181769
172,0.082632856
173,0.091083944
174,0.099535031
175,0.10516909
