,Niger
0,90000
1,90000
2,90000
3,90000
4,90000
5,90000
6,90000
7,90000
8,90000
9,90000
10,90000
11,90000
12,90000
13,90000
14,90000
15,90000
16,90000
17,90000
18,90000
19,90000
20,90000
21,90000
22,90000
23,90000
24,90000
25,90000
26,90000
27,90000
28,90000
29,90000
30,90000
31,90000
32,90000
33,90000
34,90000
35,90000
36,90000
37,90000
38,90000
39,90000
40,90000
41,90000
42,90000
43,90000
44,90000
45,90000
46,90000
47,90000
48,90000
49,90000
50,90000
51,90000
52,90000
53,90000
54,90000
55,90000
56,90000
57,90000
58,90000
59,90000
60,90000
61,90000
62,90000
63,90000
64,90000
65,90000
66,90000
67,90000
68,90000
69,90000
70,90000
71,90000
72,90000
73,90000
74,90000
75,90000
76,90000
77,90000
78,90000
79,90000
80,90000
81,90000
82,90000
83,90000
84,90000
85,90000
86,90000
87,90000
88,90000
89,90000
90,90000
91,90000
92,90000
93,90000
94,90000
95,90000
96,90000
97,90000
98,90000
99,90000
100,90000
101,90000
102,90000
103,90000
104,90000
105,90000
106,90000
107,90000
108,90000
109,90000
110,90000
111,90000
112,90000
113,90000
114,90000
115,90000
116,90000
117,90000
118,90000
119,90000
120,90000
121,90000
122,90000
123,90000
124,90000
125,90000
126,90000
127,90000
128,90000
129,90000
130,90000
131,90000
132,90000
133,90000
134,90000
135,90000
136,90000
137,90000
138,90000
139,90000
140,90000
141,90000
142,90000
143,90000
144,90000
145,90000
146,90000
147,90000
148,90000
149,90000
150,90000
151,90000
152,90000
153,90000
154,90000
155,90000
156,90000
157,90000
158,90000
159,90000
160,90000
161,90000
162,90000
163,90000
164,90000
165,90000
166,90000
167,90000
168,90000
169,90000
170,90000
171,90000
172,90000
173,90000
174,90000
175,90000
176,90000
177,90000
178,90000
179,90000
180,90000
181,90000
182,90000
183,90000
184,90000
185,90000
186,90000
187,90000
188,90000
189,90000
190,90000
191,90000
192,90000
193,90000
194,90000
195,90000
196,90000
197,90000
198,90000
199,90000
200,90000
201,90000
202,90000
203,90000
204,90000
205,90000
206,90000
207,90000
208,90000
209,90000
210,90000
211,90000
212,90000
213,90000
214,90000
215,90000
216,90000
217,90000
218,90000
219,90000
220,90000
221,90000
222,90000
223,90000
224,90000
225,90000
226,90000
227,90000
228,90000
229,90000
230,90000
231,90000
232,90000
233,90000
234,90000
235,90000
236,90000
237,90000
238,90000
239,90000
240,90000
241,90000
242,90000
243,90000
244,90000
245,90000
246,90000
247,90000
248,90000
249,90000
250,90000
251,90000
252,90000
253,90000
254,90000
255,90000
256,90000
257,90000
258,90000
259,90000
260,90000
261,90000
262,90000
263,90000
264,90000
265,90000
266,90000
267,90000
268,90000
269,90000
270,90000
271,90000
272,90000
273,90000
274,90000
275,90000
276,90000
277,90000
278,90000
279,90000
280,90000
281,90000
282,90000
283,90000
284,90000
285,90000
286,90000
287,90000
288,90000
289,90000
290,90000
291,90000
292,90000
293,90000
294,90000
295,90000
296,90000
297,90000
298,90000
299,90000
300,90000
301,90000
302,90000
303,90000
304,90000
305,90000
306,90000
307,90000
308,90000
309,90000
310,90000
311,90000
312,90000
313,90000
314,90000
315,90000
316,90000
317,90000
318,90000
319,90000
320,90000
321,90000
322,90000
323,90000
324,90000
325,90000
326,90000
327,90000
328,90000
329,90000
330,90000
331,90000
332,90000
333,90000
334,90000
335,90000
336,90000
337,90000
338,90000
339,90000
340,90000
341,90000
342,90000
343,90000
344,90000
345,90000
346,90000
347,90000
348,90000
349,90000
350,90000
351,90000
352,90000
353,90000
354,90000
355,90000
356,90000
357,90000
358,90000
359,90000
360,90000
361,90000
362,90000
363,90000
364,90000
365,90000
366,90000
367,90000
368,90000
369,90000
370,90000
371,90000
372,90000
373,90000
374,90000
375,90000
376,90000
377,90000
378,90000
379,90000
380,90000
381,90000
382,90000
383,90000
384,90000
385,90000
386,90000
387,90000
388,90000
389,90000
390,90000
391,90000
392,90000
393,90000
394,90000
395,90000
396,90000
397,90000
398,90000
399,90000
400,90000
401,90000
402,90000
403,90000
404,90000
405,90000
406,90000
407,90000
408,90000
409,90000
410,90000
411,90000
412,90000
413,90000
414,90000
415,90000
416,90000
417,90000
418,90000
419,90000
420,90000
421,90000
422,90000
423,90000
424,90000
425,90000
426,90000
427,90000
428,90000
429,90000
430,90000
431,90000
432,90000
433,90000
434,90000
435,90000
436,90000
437,90000
438,90000
439,90000
440,90000
441,90000
442,90000
443,90000
444,90000
445,90000
446,90000
447,90000
448,90000
449,90000
450,90000
451,90000
452,90000
453,90000
454,90000
455,90000
456,90000
457,90000
458,90000
459,90000
460,90000
461,90000
462,90000
463,90000
464,90000
465,90000
466,90000
467,90000
468,90000
469,90000
470,90000
471,90000
472,90000
473,90000
474,90000
475,90000
476,90000
477,90000
478,90000
479,90000
480,90000
481,90000
482,90000
483,90000
484,90000
485,90000
486,90000
487,90000
488,90000
489,90000
490,90000
491,90000
492,90000
493,90000
494,90000
495,90000
496,90000
497,90000
498,90000
499,90000
500,90000
501,90000
502,90000
503,90000
504,90000
505,90000
506,90000
507,90000
508,90000
509,90000
510,90000
511,90000
512,90000
513,90000
514,90000
515,90000
516,90000
517,90000
518,90000
519,90000
520,90000
521,90000
522,90000
523,90000
524,90000
525,90000
526,90000
527,90000
528,90000
529,90000
530,90000
531,90000
532,90000
533,90000
534,90000
535,90000
536,90000
537,90000
538,90000
539,90000
540,90000
541,90000
542,90000
543,90000
544,90000
545,90000
546,90000
547,90000
548,90000
549,90000
550,90000
551,90000
552,90000
553,90000
554,90000
555,90000
556,90000
557,90000
558,90000
559,90000
560,90000
561,90000
562,90000
563,90000
564,90000
565,90000
566,90000
567,90000
568,90000
569,90000
570,90000
571,90000
572,90000
573,90000
574,90000
575,90000
576,90000
577,90000
578,90000
579,90000
580,90000
581,90000
582,90000
583,90000
584,90000
585,90000
586,90000
587,90000
588,90000
589,90000
590,90000
591,90000
592,90000
593,90000
594,90000
595,90000
596,90000
597,90000
598,90000
599,90000
600,90000
601,90000
602,90000
603,90000
604,90000
605,90000
606,90000
607,90000
608,90000
609,90000
610,90000
611,90000
612,90000
613,90000
614,90000
615,90000
616,90000
617,90000
618,90000
619,90000
620,90000
621,90000
622,90000
623,90000
624,90000
625,90000
626,90000
627,90000
628,90000
629,90000
630,90000
631,90000
632,90000
633,90000
634,90000
635,90000
636,90000
637,90000
638,90000
639,90000
640,90000
641,90000
642,90000
643,90000
644,90000
645,90000
646,90000
647,90000
648,90000
649,90000
650,90000
651,90000
652,90000
653,90000
654,90000
655,90000
656,90000
657,90000
658,90000
659,90000
660,90000
661,90000
662,90000
663,90000
664,90000
665,90000
666,90000
667,90000
668,90000
669,90000
670,90000
671,90000
672,90000
673,90000
674,90000
675,90000
676,90000
677,90000
678,90000
679,90000
680,90000
681,90000
682,90000
683,90000
684,90000
685,90000
686,90000
687,90000
688,90000
689,90000
690,90000
691,90000
692,90000
693,90000
694,90000
695,90000
696,90000
697,90000
698,90000
699,90000
700,90000
701,90000
702,90000
703,90000
704,90000
705,90000
706,90000
707,90000
708,90000
709,90000
710,90000
711,90000
712,90000
713,90000
714,90000
715,90000
716,90000
717,90000
718,90000
719,90000
720,90000
721,90000
722,90000
723,90000
724,90000
725,90000
726,90000
727,90000
728,90000
729,90000
730,90000
731,90000
732,90000
733,90000
734,90000
735,90000
736,90000
737,90000
738,90000
739,90000
740,90000
741,90000
742,90000
743,90000
744,90000
745,90000
746,90000
747,90000
748,90000
749,90000
750,90000
751,90000
752,90000
753,90000
754,90000
755,90000
756,90000
757,90000
758,90000
759,90000
760,90000
761,90000
762,90000
763,90000
764,90000
765,90000
766,90000
767,90000
768,90000
769,90000
770,90000
771,90000
772,90000
773,90000
774,90000
775,90000
776,90000
777,90000
778,90000
779,90000
780,90000
781,90000
782,90000
783,90000
784,90000
785,90000
786,90000
787,90000
788,90000
789,90000
790,90000
791,90000
792,90000
793,90000
794,90000
795,90000
796,90000
797,90000
798,90000
799,90000
800,90000
801,90000
802,90000
803,90000
804,90000
805,90000
806,90000
807,90000
808,90000
809,90000
810,90000
811,90000
812,90000
813,90000
814,90000
815,90000
816,90000
817,90000
